! font		number	metricfile	vectorfile	bitmapfile	name
plss		75	plss.fmt	plss.fve	plss.fmt	% Plotter Simplex Script
plsym1		76	plsym1.fmt	plsym1.fve	plsym1.fmt	% Plotter Symbols One
plsym2		77	plsym2.fmt	plsym2.fve	plsym2.fmt	% Plotter Symbols Two
pltr		79	pltr.fmt	pltr.fve	pltr.fmt	% Plotter Triplex
plti		78	plti.fmt	plti.fve	plti.fmt	- I(pltr)
plba		80	plba.fmt	plba.fve	plba.fmt	% Plotter Block Ascii
plsa		81	plsa.fmt	plsa.fve	plsa.fmt	% Plotter Simplex Ascii
arial8		87	arial8.fmt	arial8.fve	arial8.fmt	% Arial Cyrillic
arial8b		88	arialbd8.fmt	arialbd8.fve	arialbd8.fmt	- B(arial8)
arial8i		89	ariali8.fmt	ariali8.fve	ariali8.fmt	- I(arial8)
arial8bi	90	arialbi8.fmt	arialbi8.fve	arialbi8.fmt	- BI(arial8)
cour8		91	cour8.fmt	cour8.fve	cour8.fmt	% Courier Cyrillic
cour8b		92	courbd8.fmt	courbd8.fve	courbd8.fmt	- B(cour8)
cour8i		93	couri8.fmt	couri8.fve	couri8.fmt	- I(cour8)
cour8bi		94	courbi8.fmt	courbi8.fve	courbi8.fmt	- BI(cour8)
times8		95	times8.fmt	times8.fve	times8.fmt	% Times Cyrillic
times8b		96	timesbd8.fmt	timesbd8.fve	timesbd8.fmt	- B(times8)
times8i		97	timesi8.fmt	timesi8.fve	timesi8.fmt	- I(times8)
times8bi	98	timesbi8.fmt	timesbi8.fve	timesbi8.fmt	- BI(times8)
